"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3508","","Product API - HTTP Protocol Validation","","DELETE product returns HTTP 200 or 204","","DELETE product returns HTTP 200 or 204","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","11","","User Authentication","","Login validation with multiple user types","","Login validation with multiple user types","  As a ShopSphere customer
  I want to log into my account
  So that I can access my personalised shopping experience"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","6","","Product Browsing","","Add product to cart from listing","","Add product to cart from listing","  As a ShopSphere customer
  I want to browse and sort products
  So that I can find what I want to buy"
"broken","Mon Mar 02 11:09:36 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","44","","User Service API Validation","","GET user by valid ID returns user details","","GET user by valid ID returns user details","  As a QA Engineer
  I want to validate User REST API endpoints
  So that user management SOA service is functioning correctly"
"broken","Mon Mar 02 11:09:36 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","85","","User Service API Validation","","GET limited users list respects limit parameter","","GET limited users list respects limit parameter","  As a QA Engineer
  I want to validate User REST API endpoints
  So that user management SOA service is functioning correctly"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","8","","User Authentication","","Login validation with multiple user types","","Login validation with multiple user types","  As a ShopSphere customer
  I want to log into my account
  So that I can access my personalised shopping experience"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","13","","Product Browsing","","View product detail page","","View product detail page","  As a ShopSphere customer
  I want to browse and sort products
  So that I can find what I want to buy"
"broken","Mon Mar 02 11:09:36 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","49","","User Service API Validation","","GET user by invalid ID returns HTTP 404","","GET user by invalid ID returns HTTP 404","  As a QA Engineer
  I want to validate User REST API endpoints
  So that user management SOA service is functioning correctly"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","7","","Product Browsing","","Sort products by price low to high","","Sort products by price low to high","  As a ShopSphere customer
  I want to browse and sort products
  So that I can find what I want to buy"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3496","","Product API - HTTP Protocol Validation","","GET product by invalid ID returns HTTP 404","","GET product by invalid ID returns HTTP 404","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3507","","Product API - HTTP Protocol Validation","","GET product by valid ID returns product details","","GET product by valid ID returns product details","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3493","","Product API - HTTP Protocol Validation","","PATCH partial update product price","","PATCH partial update product price","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3485","","Product API - HTTP Protocol Validation","","HEAD request returns headers without body","","HEAD request returns headers without body","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"broken","Mon Mar 02 11:09:36 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","44","","User Service API Validation","","Login with valid credentials returns token","","Login with valid credentials returns token","  As a QA Engineer
  I want to validate User REST API endpoints
  So that user management SOA service is functioning correctly"
"skipped","Mon Mar 02 11:10:01 UTC 2026","Mon Mar 02 11:10:01 UTC 2026","9","","User Authentication","","Successful login with valid credentials","","Successful login with valid credentials","  As a ShopSphere customer
  I want to log into my account
  So that I can access my personalised shopping experience"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3493","","Product API - HTTP Protocol Validation","","GET all products returns HTTP 200 with JSON body","","GET all products returns HTTP 200 with JSON body","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"broken","Mon Mar 02 11:09:33 UTC 2026","Mon Mar 02 11:09:36 UTC 2026","3364","","Product API - HTTP Protocol Validation","","GET products by category returns filtered results","","GET products by category returns filtered results","  As a QA Engineer
  I want to validate the Product REST API
  So that the SOA backend services meet contract requirements"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","8","","User Authentication","","Login validation with multiple user types","","Login validation with multiple user types","  As a ShopSphere customer
  I want to log into my account
  So that I can access my personalised shopping experience"
"skipped","Mon Mar 02 11:10:01 UTC 2026","Mon Mar 02 11:10:01 UTC 2026","352","","End-to-End Checkout Flow","","Complete successful checkout flow","","Complete successful checkout flow","  As a ShopSphere customer
  I want to complete a purchase
  So that I can receive my ordered items"
"skipped","Mon Mar 02 11:10:02 UTC 2026","Mon Mar 02 11:10:02 UTC 2026","7","","Product Browsing","","Products page displays items","","Products page displays items","  As a ShopSphere customer
  I want to browse and sort products
  So that I can find what I want to buy"
